iso_code,year,ban_indicator
AFG,2007,4
AFG,2008,4
AFG,2010,4
AFG,2012,4
AFG,2014,4
AFG,2016,5
AFG,2018,5
ALB,2007,5
ALB,2008,5
ALB,2010,5
ALB,2012,5
ALB,2014,5
ALB,2016,5
ALB,2018,5
DZA,2007,4
DZA,2008,4
DZA,2010,4
DZA,2012,4
DZA,2014,4
DZA,2016,4
DZA,2018,4
AND,2007,2
AND,2008,2
AND,2010,2
AND,2012,2
AND,2014,2
AND,2016,2
AND,2018,2
AGO,2007,2
AGO,2008,2
AGO,2010,2
AGO,2012,2
AGO,2014,2
AGO,2016,2
AGO,2018,2
ATG,2007,2
ATG,2008,2
ATG,2010,2
ATG,2012,2
ATG,2014,2
ATG,2016,2
ATG,2018,5
ARG,2007,2
ARG,2008,2
ARG,2010,2
ARG,2012,4
ARG,2014,4
ARG,2016,4
ARG,2018,4
ARM,2007,2
ARM,2008,2
ARM,2010,2
ARM,2012,2
ARM,2014,2
ARM,2016,2
ARM,2018,2
AUS,2007,4
AUS,2008,4
AUS,2010,4
AUS,2012,4
AUS,2014,4
AUS,2016,4
AUS,2018,4
AUT,2007,4
AUT,2008,4
AUT,2010,4
AUT,2012,4
AUT,2014,4
AUT,2016,4
AUT,2018,4
AZE,2007,4
AZE,2008,4
AZE,2010,4
AZE,2012,4
AZE,2014,4
AZE,2016,4
AZE,2018,5
BHS,2007,2
BHS,2008,2
BHS,2010,2
BHS,2012,2
BHS,2014,2
BHS,2016,2
BHS,2018,2
BHR,2007,2
BHR,2008,2
BHR,2010,4
BHR,2012,5
BHR,2014,5
BHR,2016,5
BHR,2018,5
BGD,2007,4
BGD,2008,4
BGD,2010,4
BGD,2012,4
BGD,2014,4
BGD,2016,4
BGD,2018,4
BRB,2007,2
BRB,2008,2
BRB,2010,2
BRB,2012,2
BRB,2014,2
BRB,2016,2
BRB,2018,2
BLR,2007,4
BLR,2008,4
BLR,2010,4
BLR,2012,4
BLR,2014,4
BLR,2016,4
BLR,2018,4
BEL,2007,4
BEL,2008,4
BEL,2010,4
BEL,2012,4
BEL,2014,4
BEL,2016,4
BEL,2018,4
BLZ,2007,2
BLZ,2008,2
BLZ,2010,2
BLZ,2012,2
BLZ,2014,2
BLZ,2016,2
BLZ,2018,2
