iso_code,year,death_rate
AFG,1990,75.84
AFG,1991,75.64
AFG,1992,75.66
AFG,1993,76.53
AFG,1994,77.78
AFG,1995,78.52
AFG,1996,79.31
AFG,1997,80.11
AFG,1998,80.85
AFG,1999,81.67
AFG,2000,82.36
AFG,2001,82.9
AFG,2002,81.55
AFG,2003,80.84
AFG,2004,80.4
AFG,2005,79.78
AFG,2006,79.47
AFG,2007,79.44
AFG,2008,79.74
AFG,2009,79.73
AFG,2010,79.72
AFG,2011,79.85
AFG,2012,80.2
AFG,2013,80.31
AFG,2014,80.72
AFG,2015,81.38
AFG,2016,81.63
AFG,2017,82.05
AFG,2018,82.16
AFG,2019,81.75
ALB,1990,147.22
ALB,1991,146.24
ALB,1992,137.62
ALB,1993,129.35
ALB,1994,118.84
ALB,1995,119.74
ALB,1996,121.6
ALB,1997,120.26
ALB,1998,117.72
ALB,1999,114.76
ALB,2000,113.18
ALB,2001,107.38
ALB,2002,109.25
ALB,2003,113.75
ALB,2004,113.15
ALB,2005,108.34
ALB,2006,100.81
ALB,2007,95.26
ALB,2008,95.75
ALB,2009,94.38
ALB,2010,94
ALB,2011,95.48
ALB,2012,95.71
ALB,2013,96.55
ALB,2014,99.05
ALB,2015,101.42
ALB,2016,101.76
ALB,2017,102.12
ALB,2018,102.35
ALB,2019,102.61
DZA,1990,143.94
DZA,1991,140.65
DZA,1992,137.88
DZA,1993,135.12
DZA,1994,132.65
DZA,1995,129.65
DZA,1996,126.07
DZA,1997,122.47
DZA,1998,118.44
DZA,1999,115.59
DZA,2000,111.96
DZA,2001,108.51
DZA,2002,105.27
DZA,2003,101.81
DZA,2004,99.09
DZA,2005,96.7
DZA,2006,94.36
DZA,2007,92.25
DZA,2008,90.29
DZA,2009,88.52
DZA,2010,86.5
DZA,2011,85.2
DZA,2012,83.76
DZA,2013,81.95
DZA,2014,80.68
DZA,2015,79.9
DZA,2016,78.79
DZA,2017,77.99
DZA,2018,76.99
DZA,2019,76.34
ASM,1990,155.73
ASM,1991,154.42
ASM,1992,152.46
ASM,1993,149.87
ASM,1994,148.16
ASM,1995,146.38
ASM,1996,144.72
ASM,1997,143.23
ASM,1998,142.19
ASM,1999,141.62
ASM,2000,139.16
ASM,2001,137.7
ASM,2002,136.34
ASM,2003,134.65
ASM,2004,132.65
ASM,2005,130.75
ASM,2006,129.36
ASM,2007,127.68
ASM,2008,127.02
ASM,2009,126.32
ASM,2010,124.83
ASM,2011,123.29
ASM,2012,122.13
ASM,2013,121.71
ASM,2014,120.96
ASM,2015,120.37
ASM,2016,119.35
ASM,2017,118.56
ASM,2018,117.73
ASM,2019,116.82
AND,1990,116.02
AND,1991,115.23
AND,1992,114.5
AND,1993,112.28
AND,1994,110.02
AND,1995,107.44
AND,1996,105.17
AND,1997,102.4
AND,1998,99.99
AND,1999,97.77
AND,2000,95.84
AND,2001,94.03
AND,2002,92.05
AND,2003,90.37
AND,2004,89.32
AND,2005,87.63
AND,2006,86.32
AND,2007,84.5
AND,2008,83.26
AND,2009,82.37
AND,2010,81.3
AND,2011,80.01
AND,2012,78.9
AND,2013,78.38
AND,2014,77.71
AND,2015,76.69
AND,2016,76.02
AND,2017,75.38
AND,2018,74.83
AND,2019,74.12
AGO,1990,114.32
AGO,1991,114.02
AGO,1992,113.86
AGO,1993,114.83
AGO,1994,115.42
AGO,1995,114.51
AGO,1996,111.59
AGO,1997,109.82
AGO,1998,109.79
AGO,1999,108.93
AGO,2000,107.16
AGO,2001,103.94
AGO,2002,98.65
AGO,2003,95.68
AGO,2004,94.66
AGO,2005,90.6
AGO,2006,89.23
AGO,2007,86.48
AGO,2008,84.57
AGO,2009,82.85
AGO,2010,80.83
AGO,2011,79.39
AGO,2012,78.3
AGO,2013,76.49
AGO,2014,73.65
AGO,2015,72.24
AGO,2016,70.85
AGO,2017,70.05
AGO,2018,69.45
AGO,2019,69.1
ATG,1990,45.73
ATG,1991,45.99
ATG,1992,46.64
ATG,1993,49.32
ATG,1994,49.62
ATG,1995,50.04
ATG,1996,45.44
ATG,1997,43.95
ATG,1998,43.11
ATG,1999,42.63
ATG,2000,42.14
ATG,2001,41.19
ATG,2002,40.35
ATG,2003,39.87
ATG,2004,39.45
ATG,2005,39.12
ATG,2006,39.64
ATG,2007,45.81
ATG,2008,45.37
ATG,2009,40.69
ATG,2010,40.04
ATG,2011,39.62
ATG,2012,38.9
ATG,2013,38.15
ATG,2014,38.54
ATG,2015,38.36
ATG,2016,38.12
ATG,2017,37.95
ATG,2018,37.78
ATG,2019,37.75
ARG,1990,143.76
ARG,1991,139.55
ARG,1992,138.12
ARG,1993,134.18
ARG,1994,129.39
ARG,1995,127.74
ARG,1996,126.7
ARG,1997,125.67
ARG,1998,125.1
ARG,1999,124.22
ARG,2000,118.91
ARG,2001,117.47
ARG,2002,117.66
ARG,2003,116.85
ARG,2004,112.77
ARG,2005,109.61
ARG,2006,108.03
ARG,2007,108.96
ARG,2008,104.98
ARG,2009,103.21
ARG,2010,102.18
ARG,2011,101.05
ARG,2012,99.55
ARG,2013,98.1
ARG,2014,95.95
ARG,2015,96.03
ARG,2016,98.15
ARG,2017,97.62
ARG,2018,95.52
ARG,2019,94.53
ARM,1990,160.53
ARM,1991,167.46
ARM,1992,178.89
ARM,1993,184.35
ARM,1994,174.81
ARM,1995,168.26
ARM,1996,165.48
ARM,1997,154.23
ARM,1998,146.85
ARM,1999,146.88
ARM,2000,141.87
ARM,2001,141.61
ARM,2002,142.27
ARM,2003,142.66
ARM,2004,140.8
ARM,2005,141.13
ARM,2006,141.45
ARM,2007,137.23
ARM,2008,137.52
ARM,2009,136.05
ARM,2010,133.29
ARM,2011,130.85
ARM,2012,126.24
ARM,2013,121.38
ARM,2014,121.45
ARM,2015,122.13
ARM,2016,119.77
ARM,2017,119.02
ARM,2018,118.4
ARM,2019,117.69
AUS,1990,125.5
AUS,1991,119.45
AUS,1992,115.98
AUS,1993,111.02
AUS,1994,108.15
AUS,1995,103.29
AUS,1996,99.65
AUS,1997,94.74
AUS,1998,89.67
AUS,1999,84.67
AUS,2000,80.42
AUS,2001,76.55
AUS,2002,73.4
AUS,2003,69.39
AUS,2004,66.33
AUS,2005,63.17
AUS,2006,60.66
AUS,2007,59.47
AUS,2008,57.94
AUS,2009,55.63
AUS,2010,53.61
AUS,2011,52.23
AUS,2012,50.33
AUS,2013,49.1
AUS,2014,48.57
AUS,2015,47.66
AUS,2016,45.96
AUS,2017,45.2
AUS,2018,45.21
AUS,2019,44.66
AUT,1990,106.68
AUT,1991,105.89
AUT,1992,104.44
AUT,1993,103.05
AUT,1994,100.58
AUT,1995,99.49
AUT,1996,98.49
AUT,1997,96.35
AUT,1998,94.71
AUT,1999,92.37
AUT,2000,89.47
AUT,2001,86.56
AUT,2002,85.8
AUT,2003,84.85
AUT,2004,82.58
AUT,2005,80.88
AUT,2006,78.85
AUT,2007,78.24
AUT,2008,77.17
AUT,2009,77.75
AUT,2010,76.64
AUT,2011,75.64
AUT,2012,74.96
AUT,2013,74.1
AUT,2014,72.9
AUT,2015,72.7
AUT,2016,71.2
AUT,2017,69.68
AUT,2018,68.36
AUT,2019,67.9
AZE,1990,136.27
