iso_code,year,expenditure_pc_gdp
ALB,2010,2.442
ALB,2011,2.387
ALB,2012,2.474
ALB,2013,2.605
ALB,2014,2.617
ALB,2015,2.755
ALB,2016,2.842
ALB,2017,2.762
ALB,2018,2.878
ARG,2000,4.499
ARG,2001,4.594
ARG,2002,4.034
ARG,2003,3.774
ARG,2004,3.746
ARG,2005,3.915
ARG,2006,4.019
ARG,2007,4.257
ARG,2008,4.509
ARG,2009,5.672
ARG,2010,5.572
ARG,2011,5.688
ARG,2012,6.144
ARG,2013,6.264
ARG,2014,6.361
ARG,2015,6.853
ARG,2016,5.619
ARG,2017,6.644
ARG,2018,5.965
ARG,2019,5.954
AUS,1880,0
AUS,1890,0
AUS,1900,0
AUS,1910,0.38
AUS,1920,0.57
AUS,1930,0.44
AUS,1960,1.913669591
AUS,1961,2.092821637
AUS,1962,2.23125731
AUS,1963,2.141681287
AUS,1964,2.149824561
AUS,1965,2.223114035
AUS,1966,2.182397661
AUS,1967,2.019532164
AUS,1968,2.190540936
AUS,1969,2.304546784
AUS,1970,2.622134503
AUS,1971,2.785
AUS,1972,2.761
AUS,1973,2.738
AUS,1974,3.12
AUS,1975,4.199
AUS,1976,3.824
AUS,1977,3.686
AUS,1978,3.679
AUS,1979,3.585
AUS,1980,3.662
AUS,1981,3.572
AUS,1982,3.593
AUS,1983,3.799
AUS,1984,4.298
AUS,1985,4.338
AUS,1986,4.402
AUS,1987,4.275
AUS,1988,4.13
AUS,1989,4.118
AUS,1990,4.281
AUS,1991,4.466
AUS,1992,4.496
AUS,1993,4.494
AUS,1994,4.506
AUS,1995,4.593
AUS,1996,4.648
AUS,1997,4.766
AUS,1998,4.904
AUS,1999,5.105
AUS,2000,5.197
AUS,2001,5.206
AUS,2002,5.406
AUS,2003,5.364
AUS,2004,5.529
AUS,2005,5.454
AUS,2006,5.452
AUS,2007,5.585
AUS,2008,5.695
AUS,2009,5.926
AUS,2010,5.781
AUS,2011,5.911
AUS,2012,5.859
AUS,2013,5.685
AUS,2014,6.658
AUS,2015,6.985
AUS,2016,6.942
AUS,2017,6.991
AUS,2018,7.009
AUS,2019,7.361
AUS,2020,7.612
AUT,1880,0
AUT,1890,0
AUT,1900,0
AUT,1910,0
AUT,1920,0
AUT,1930,0
AUT,1960,2.635008746
AUT,1961,2.660758017
AUT,1962,2.703673469
AUT,1963,2.780921283
AUT,1964,2.729422741
AUT,1965,2.841002915
AUT,1966,2.875335277
AUT,1967,3.098495627
AUT,1968,2.995498542
AUT,1969,3.17574344
AUT,1970,2.944
AUT,1971,2.921
AUT,1972,2.909
AUT,1973,2.97
AUT,1974,3.22
AUT,1975,4.414
AUT,1976,4.586
AUT,1977,4.568
AUT,1978,4.727
AUT,1979,4.61
AUT,1980,4.72
AUT,1981,4.465
AUT,1982,4.427
AUT,1983,4.339
AUT,1984,4.344
AUT,1985,4.482
AUT,1986,4.565
AUT,1987,4.779
AUT,1988,4.743
AUT,1989,4.715
AUT,1990,5.74
AUT,1991,5.792
AUT,1992,6.048
AUT,1993,6.467
AUT,1994,6.828
