iso_code,year,help_indicator
AFG,2007,3
AFG,2008,3
AFG,2010,3
AFG,2012,3
AFG,2014,3
AFG,2016,3
AFG,2018,3
ALB,2007,2
ALB,2008,3
ALB,2010,3
ALB,2012,4
ALB,2014,4
ALB,2016,4
ALB,2018,4
DZA,2007,3
DZA,2008,3
DZA,2010,3
DZA,2012,3
DZA,2014,3
DZA,2016,3
DZA,2018,3
AND,2007,4
AND,2008,4
AND,2010,4
AND,2012,4
AND,2014,4
AND,2016,4
AND,2018,4
AGO,2007,3
AGO,2008,3
AGO,2010,3
AGO,2012,3
AGO,2014,3
AGO,2016,3
AGO,2018,4
ATG,2007,3
ATG,2008,3
ATG,2010,3
ATG,2012,3
ATG,2014,3
ATG,2016,3
ATG,2018,3
ARG,2007,4
ARG,2008,4
ARG,2010,4
ARG,2012,4
ARG,2014,4
ARG,2016,4
ARG,2018,4
ARM,2007,3
ARM,2008,3
ARM,2010,3
ARM,2012,4
ARM,2014,4
ARM,2016,4
ARM,2018,4
AUS,2007,5
AUS,2008,5
AUS,2010,5
AUS,2012,5
AUS,2014,5
AUS,2016,5
AUS,2018,5
AUT,2007,4
AUT,2008,4
AUT,2010,4
AUT,2012,4
AUT,2014,4
AUT,2016,4
AUT,2018,4
AZE,2007,2
AZE,2008,2
AZE,2010,3
AZE,2012,3
AZE,2014,2
AZE,2016,3
AZE,2018,3
BHS,2007,3
BHS,2008,3
BHS,2010,3
BHS,2012,4
BHS,2014,4
BHS,2016,4
BHS,2018,4
BHR,2007,5
BHR,2008,5
BHR,2010,5
BHR,2012,4
BHR,2014,4
BHR,2016,4
BHR,2018,4
BGD,2007,3
BGD,2008,3
BGD,2010,3
BGD,2012,3
BGD,2014,3
BGD,2016,3
BGD,2018,3
BRB,2007,3
BRB,2008,3
BRB,2010,3
BRB,2012,4
BRB,2014,4
BRB,2016,4
BRB,2018,4
BLR,2007,4
BLR,2008,4
BLR,2010,4
BLR,2012,4
BLR,2014,4
BLR,2016,4
BLR,2018,4
BEL,2007,5
BEL,2008,5
BEL,2010,4
BEL,2012,4
BEL,2014,4
BEL,2016,4
BEL,2018,4
BLZ,2007,3
BLZ,2008,3
BLZ,2010,3
BLZ,2012,3
BLZ,2014,2
BLZ,2016,4
BLZ,2018,4
BEN,2007,3
BEN,2008,3
BEN,2010,3
BEN,2012,3
BEN,2014,4
BEN,2016,4
BEN,2018,2
BTN,2007,2
BTN,2008,2
BTN,2010,2
BTN,2012,2
BTN,2014,4
BTN,2016,4
BTN,2018,4
BOL,2007,3
BOL,2008,3
